,MAE,RMSE,n_epochs,n_factors,params,scores
0,0.7490631703754168,0.9483134028982212,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.94831340289822119, 'MAE': 0.74906317037541681}"
1,0.7502579774763756,0.94930958352407,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.94930958352407002, 'MAE': 0.75025797747637557}"
2,0.7505061150818768,0.9488721774402662,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.9488721774402662, 'MAE': 0.75050611508187681}"
3,0.7653462699241689,0.9770372056543197,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': False, 'reg_all': 0.01}","{'RMSE': 0.97703720565431973, 'MAE': 0.76534626992416888}"
4,0.768363557894487,0.979233435769973,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.97923343576997302, 'MAE': 0.76836355789448696}"
5,0.7689516917050652,0.9790945903018733,20,10,"{'n_factors': 10, 'n_epochs': 20, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.97909459030187329, 'MAE': 0.76895169170506517}"
6,0.753729563389404,0.9617380768637087,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.96173807686370871, 'MAE': 0.753729563389404}"
7,0.7513228189587533,0.9557221925098982,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.95572219250989821, 'MAE': 0.7513228189587533}"
8,0.7512704853430079,0.9539418111802287,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.95394181118022869, 'MAE': 0.75127048534300789}"
9,0.7670200849859177,0.9799305926231676,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': False, 'reg_all': 0.01}","{'RMSE': 0.97993059262316762, 'MAE': 0.76702008498591767}"
10,0.7629766524591965,0.9720293064087661,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': False, 'reg_all': 0.02}","{'RMSE': 0.97202930640876606, 'MAE': 0.76297665245919655}"
11,0.7587669168524671,0.9658356971532357,40,10,"{'n_factors': 10, 'n_epochs': 40, 'biased': False, 'reg_all': 0.03}","{'RMSE': 0.96583569715323569, 'MAE': 0.75876691685246711}"
12,0.778170364298309,0.9983128485845283,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': True, 'reg_all': 0.01}","{'RMSE': 0.99831284858452829, 'MAE': 0.77817036429830899}"
13,0.7699087068625756,0.9851883308887335,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': True, 'reg_all': 0.02}","{'RMSE': 0.98518833088873348, 'MAE': 0.76990870686257562}"
14,0.76061187485702,0.9708679038949124,60,10,"{'n_factors': 10, 'n_epochs': 60, 'biased': True, 'reg_all': 0.03}","{'RMSE': 0.9708679038949124, 'MAE': 0.76061187485701998}"
